District,VDC Code,VDC,Ward,HH,Total,Male,Female
Nuwakot,55,Suryamati,1,102,565,262,303
Nuwakot,55,Suryamati,2,80,408,201,207
Nuwakot,55,Suryamati,3,70,364,170,194
Nuwakot,55,Suryamati,4,121,657,295,362
Nuwakot,55,Suryamati,5,46,265,131,134
Nuwakot,55,Suryamati,6,79,363,166,197
Nuwakot,55,Suryamati,7,61,302,115,187
Nuwakot,55,Suryamati,8,54,308,158,150
Nuwakot,55,Suryamati,9,79,422,219,203
Nuwakot,56,Talakhu,1,89,362,174,188
Nuwakot,56,Talakhu,2,108,444,214,230
Nuwakot,56,Talakhu,3,98,427,204,223
Nuwakot,56,Talakhu,4,47,212,100,112
Nuwakot,56,Talakhu,5,71,324,161,163
Nuwakot,56,Talakhu,6,68,279,136,143
Nuwakot,56,Talakhu,7,91,380,157,223
Nuwakot,56,Talakhu,8,52,238,111,127
Nuwakot,56,Talakhu,9,64,310,145,165
Nuwakot,57,Taruka,1,243,"1,156",534,622
Nuwakot,57,Taruka,2,103,487,236,251
Nuwakot,57,Taruka,3,66,315,154,161
Nuwakot,57,Taruka,4,93,474,219,255
Nuwakot,57,Taruka,5,183,871,374,497
Nuwakot,57,Taruka,6,109,492,208,284
Nuwakot,57,Taruka,7,125,579,252,327
Nuwakot,57,Taruka,8,112,484,209,275
Nuwakot,57,Taruka,9,93,375,149,226
Nuwakot,58,Thanapati,1,82,410,205,205
Nuwakot,58,Thanapati,2,78,351,160,191
Nuwakot,58,Thanapati,3,56,221,97,124
Nuwakot,58,Thanapati,4,32,153,74,79
Nuwakot,58,Thanapati,5,34,193,99,94
Nuwakot,58,Thanapati,6,69,320,148,172
Nuwakot,58,Thanapati,7,65,273,130,143
Nuwakot,58,Thanapati,8,72,339,165,174
Nuwakot,58,Thanapati,9,138,571,285,286
Nuwakot,59,Thansing,1,199,852,414,438
Nuwakot,59,Thansing,2,135,548,256,292
Nuwakot,59,Thansing,3,136,548,258,290
Nuwakot,59,Thansing,4,115,459,214,245
Nuwakot,59,Thansing,5,146,704,325,379
Nuwakot,59,Thansing,6,179,801,376,425
Nuwakot,59,Thansing,7,68,310,140,170
Nuwakot,59,Thansing,8,252,"1,161",556,605
Nuwakot,59,Thansing,9,158,743,360,383
Nuwakot,60,Thaprek,1,79,437,209,228
Nuwakot,60,Thaprek,2,94,560,253,307
Nuwakot,60,Thaprek,3,94,463,215,248
Nuwakot,60,Thaprek,4,109,496,230,266
